x,y
1961,21.25
1962,10.63
1963,17.8
1964,13.75
1965,15.63
1966,10
1967,14.88
1968,10
1969,12.5
1970,20.13
1971,18.13
1972,12.5
1973,6.88
1974,8.13
1975,13.13
1976,7.22
1977,16.88
1978,21.25
1979,21.2
1980,16.25
1981,8.75
1982,14.06
1983,7.6
1984,20.63
1985,10.63
1986,17.5
1987,10
1988,12.5
1989,23.13
1990,16.25
1991,12.19
1992,15
1993,13.75
1994,10.1
1995,7.5
1996,18.13
1997,10.13
1998,10.1
1999,22.5
2000,20
2001,15
2002,10.6
2003,20.13
2004,25
2005,5.13
